2018-12-10 20:39:26 INFO     Start Loop
2018-12-10 20:39:57 INFO     1
2018-12-10 20:40:00 INFO     1
2018-12-10 20:40:18 INFO     1
2018-12-10 20:40:22 INFO     1
2018-12-10 20:40:24 INFO     1
2018-12-10 20:40:25 INFO     1
2018-12-10 20:40:26 INFO     1
2018-12-10 20:40:30 INFO     1
2018-12-10 20:40:32 INFO     1
2018-12-10 20:40:48 INFO     1
2018-12-10 20:40:50 INFO     1
2018-12-10 20:40:52 INFO     1
2018-12-10 20:40:53 INFO     1
2018-12-10 20:41:01 INFO     1
2018-12-10 20:41:01 INFO     1
2018-12-10 20:41:14 INFO     1
2018-12-10 20:41:26 INFO     1
2018-12-10 20:41:27 INFO     1
2018-12-10 20:41:33 INFO     1
